證券代碼,公司名稱,年月日,開盤價(元),最高價(元),最低價(元),收盤價(元),成交量(千股),成交值(千元),報酬率％,週轉率％,流通在外股數(千股),市值(百萬元),最後揭示買價,最後揭示賣價,報酬率-Ln,市值比重％,成交值比重％,成交筆數(筆),本益比-TSE,本益比-TEJ,股價淨值比-TSE,股價淨值比-TEJ,漲跌停,股價營收比-TEJ,股利殖利率-TSE,現金股利率,股價漲跌(元),高低價差%,次日開盤參考價,次日漲停價,次日跌停價,注意股票(A),處置股票(D),全額交割(Y),市場別
2330,台積電,20221109,397.172,410.46,397.172,410.46,56357,23188739,4.5113,0.2173,25930380,10812969,416.5,417.0,4.4125,25.469,10.241,67569,14.18,13.942,4.33,4.3315,,5.7575,2.64,2.6379,18.0,3.3835,417.0,458.5,375.5,,,,TSE
2330,台積電,20221110,402.585,405.046,399.632,401.109,33671,13757669,-2.2782,0.1299,25930380,10566630,407.5,408.0,-2.3045,25.135,7.616,36471,13.86,13.6244,4.23,4.2328,,5.6263,2.7,2.6994,-9.5,1.3189,407.5,448.0,367.0,,,,TSE
1216,統一,20221110,64.9,65.2,64.5,64.9,8383,542780,-0.6126,0.1475,5682015,368763,64.8,64.9,-0.6144,0.877,0.301,4544,20.47,20.6574,3.01,3.2502,,0.7443,4.16,4.1602,-0.4,1.072,64.9,71.3,58.5,,,,TSE
2317,鴻海,20221110,96.3452,96.8222,95.8683,95.8683,39874,4016631,-1.9512,0.2876,13862991,1393231,100.5,101.0,-1.9705,3.314,2.224,20790,9.66,8.9588,1.0,1.0018,,0.2242,5.17,5.1741,-2.0,0.9756,100.5,110.5,90.5,,,,TSE
2330,台積電,20221111,434.576,435.068,428.178,434.576,83770,36838808,8.3436,0.3231,25930380,11448263,441.0,441.5,8.0137,26.256,11.684,100349,15.02,14.7611,4.59,4.586,,6.0957,2.49,2.4915,34.0,1.7178,441.5,485.5,397.5,,,,TSE
1216,統一,20221111,65.5,65.9,65.1,65.4,8719,570714,0.7704,0.1534,5682015,371604,65.3,65.4,0.7675,0.852,0.181,3888,20.63,20.8166,3.03,3.2752,,0.75,4.13,4.1284,0.5,1.2327,65.4,71.9,58.9,,,,TSE
2317,鴻海,20221111,96.8222,97.7761,95.3913,95.3913,90276,9085057,-0.4975,0.6512,13862991,1386299,100.0,100.5,-0.4988,3.179,2.882,44969,9.62,8.9143,1.0,0.9968,,0.2231,5.2,5.2,-0.5,2.4876,100.0,110.0,90.0,,,,TSE
1216,統一,20221114,65.8,66.2,65.5,66.1,9712,639988,1.0703,0.1709,5682015,375581,66.1,66.2,1.0646,0.851,0.249,4118,20.85,21.0394,3.06,3.3103,,0.7581,4.08,4.0847,0.7,1.0703,66.1,72.7,59.5,,,,TSE
2317,鴻海,20221114,94.9143,96.8222,94.9143,96.8222,67217,6754151,1.5,0.4849,13862991,1407094,101.0,101.5,1.4889,3.189,2.624,24864,9.64,9.048,0.97,1.0117,,0.2265,5.12,5.1232,1.5,2.0,101.5,111.5,91.4,,,,TSE
2330,台積電,20221114,442.942,442.942,434.576,438.021,63282,28257175,0.7928,0.244,25930380,11539019,445.0,445.5,0.7896,26.152,10.98,48957,13.01,14.8781,4.21,4.6224,,6.1441,2.47,2.4719,3.5,1.9253,445.0,489.5,400.5,,,,TSE
