LR_obj,heuristic_obj,naive_obj,LR_time,heu_time,naive_time,heu_gap,naive_gap
13087654869,13195475560,13907743037,2.548126936,0.140008926,2.684504032,0.008238351,0.062661201
13330658024,13440160792,14169036350,2.500716925,0.136865854,2.697918892,0.008214356,0.062890993
13171028828,13282234186,14006381506,2.592510939,0.141255856,2.652173042,0.008443179,0.063423495
13292467425,13400697205,14144213245,2.677608967,0.143985987,2.922459841,0.008142189,0.06407733
13633907207,13742844291,14510648878,2.535145998,0.140151024,2.751617908,0.007990159,0.064305973
14052779074,14161031204,14960557658,2.561329842,0.140066147,2.678500175,0.007703254,0.064597798
13172012438,13279404472,14027548488,2.55742383,0.138113737,2.689363241,0.008153047,0.064951051
13150165689,13258298699,14005547316,2.726224899,0.138666868,2.753914118,0.008222939,0.065047213
13115161905,13223353031,13969791042,2.511152983,0.137284994,2.6940763,0.008249317,0.065163445
13274547676,13380863834,14148474773,2.550067902,0.141471863,2.622629166,0.008009023,0.065834793
12983678410,13092817291,13838961830,2.654725075,0.136981726,2.781352043,0.008405852,0.065873737
13396557182,13504041466,14279056447,2.488698006,0.138631821,2.584742785,0.008023277,0.065875079
13193203116,13301209858,14066026512,2.74652791,0.141541958,2.797627926,0.008186544,0.06615705
13029203997,13136071428,13894445717,2.506692886,0.137122154,2.692516088,0.008202146,0.066407873
13139955997,13246473845,14015966963,2.636321068,0.152844191,2.852240801,0.008106408,0.066667725
13398124459,13509574367,14292136046,2.757176876,0.139643192,2.779085875,0.008318322,0.066726622
12845795508,12955928018,13704093692,2.679304123,0.137166977,2.688724995,0.008573428,0.066815495
13400494592,13507938197,14297653169,2.527854919,0.134402037,2.563445091,0.008017884,0.066949662
13050244682,13155947179,13924586475,2.644244909,0.141177893,2.690365076,0.008099656,0.066998115
13170161162,13280889762,14058108257,2.569776297,0.139907122,2.764459848,0.008407536,0.067421126
12776662466,12885828114,13638095281,2.555242062,0.134345293,2.602180004,0.008544144,0.067422366
